epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.1961,1.74237,2.60514,1.01064,0.00918,0.20761,0.03732,0.02259,1.61143,3.11277,0.9428,0.000544327,0.000544327,0.000544327
2,82.0612,1.68977,1.64283,0.99839,0.71867,0.10874,0.2083,0.1135,1.63419,2.27607,0.98421,0.0010891,0.0010891,0.0010891
3,114.068,1.69284,1.50501,0.99503,0.44312,0.39701,0.36346,0.17864,1.57221,1.38028,0.98659,0.00162288,0.00162288,0.00162288
4,147.295,1.67226,1.3898,0.98926,0.41042,0.36947,0.31506,0.1528,1.60731,1.39423,0.99951,0.00161749,0.00161749,0.00161749
5,178.943,1.64326,1.30634,0.9824,0.38276,0.39935,0.35188,0.17654,1.6215,1.3635,1.0069,0.00160099,0.00160099,0.00160099
6,213.158,1.64325,1.25741,0.99051,0.47089,0.44261,0.40502,0.2087,1.49534,1.17193,0.97383,0.00158448,0.00158448,0.00158448
7,243.509,1.5864,1.16949,0.9776,0.40893,0.43975,0.37957,0.1944,1.4958,1.24084,0.95549,0.00156798,0.00156798,0.00156798
8,276.507,1.58699,1.15109,0.98391,0.47527,0.45554,0.41616,0.22244,1.43997,1.11108,0.95368,0.00155148,0.00155148,0.00155148
9,309.606,1.56604,1.12481,0.96427,0.47676,0.44686,0.42767,0.21951,1.47235,1.08371,0.94779,0.00153497,0.00153497,0.00153497
10,341.87,1.59243,1.09594,0.97319,0.4524,0.44665,0.42275,0.20897,1.52771,1.08146,0.96792,0.00151847,0.00151847,0.00151847
11,372.735,1.55408,1.06342,0.96477,0.44301,0.44112,0.4045,0.2062,1.48314,1.24683,0.96022,0.00150197,0.00150197,0.00150197
12,406.804,1.5259,1.0671,0.95934,0.49438,0.4696,0.45262,0.23354,1.46121,1.00825,0.9557,0.00148546,0.00148546,0.00148546
13,436.272,1.54137,1.03882,0.96395,0.44108,0.49842,0.45096,0.23071,1.47899,1.0518,0.96678,0.00146896,0.00146896,0.00146896
14,471.488,1.52826,1.02259,0.9603,0.43882,0.40558,0.38825,0.20692,1.49357,1.12838,0.95919,0.00145246,0.00145246,0.00145246
15,501.271,1.51889,1.01904,0.95511,0.41489,0.4108,0.38061,0.19547,1.52621,1.11329,0.98554,0.00143595,0.00143595,0.00143595
